Period,LCYFCYPrivatePublicSecLiab,M3Growth,M3GrowthRate,GrowthStatusM3
2021-10,3470004,20937,0.60337106239647,Growth
2021-09,3449067,53259,1.54415672412278,Growth
2021-08,3395808,20473,0.602890387206815,Growth
2021-07,3375335,-1962,-0.0581275636344244,Decline
2021-06,3377297,25308,0.74935666007461,Growth
2021-05,3351989,20909,0.623778896649124,Growth
2021-04,3331080,27045,0.811898843618286,Growth
2021-03,3304035,32763,0.991605718462425,Growth
2021-02,3271272,20068,0.613461674846971,Growth
2021-01,3251204,-189,-0.00581323103687126,Decline
2020-12,3251393,21504,0.661378061649268,Growth
2020-11,3229889,20605,0.637947619871767,Growth
2020-10,3209284,1888,0.0588293214311977,Growth
2020-09,3207396,21881,0.682204504838193,Growth
2020-08,3185515,-15706,-0.493044295820299,Decline
2020-07,3201221,18078,0.564722023253003,Growth
2020-06,3183143,22128,0.695161982983485,Growth
2020-05,3161015,52522,1.66155491195075,Growth
2020-04,3108493,26428,0.850186891204194,Growth
2020-03,3082065,159639,5.17961172136214,Growth
2020-02,2922426,30172,1.03242990583851,Growth
2020-01,2892254,5577,0.192825388088321,Growth
2019-12,2886677,-21813,-0.755643946309199,Decline
2019-11,2908490,37683,1.29562075166152,Growth
2019-10,2870807,-15684,-0.546327217399149,Decline
2019-09,2886491,-17247,-0.597507492661505,Decline
2019-08,2903738,19715,0.678952439923988,Growth
2019-07,2884023,8771,0.304123788194477,Growth
2019-06,2875252,276,0.00959915861287984,Growth
2019-05,2874976,13766,0.478821388422025,Growth
2019-04,2861210,20276,0.708651234967024,Growth
2019-03,2840934,3170,0.111583021640066,Growth
2019-02,2837764,-27311,-0.962412660108452,Decline
2019-01,2865075,-33224,-1.15962060330009,Decline
2018-12,2898299,-12083,-0.416899705654938,Decline
2018-11,2910382,23895,0.8210262432904,Growth
2018-10,2886487,37854,1.31142111500935,Growth
2018-09,2848633,6629,0.232708109468647,Growth
2018-08,2842004,13060,0.459534891576507,Growth
2018-07,2828944,1066,0.0376819053328733,Growth
2018-06,2827878,-5495,-0.194315313461189,Decline
2018-05,2833373,41697,1.47163822059432,Growth
2018-04,2791676,11964,0.428559761233037,Growth
2018-03,2779712,-40195,-1.44601311214975,Decline
2018-02,2819907,1529,0.0542216463167048,Growth
2018-01,2818378,32493,1.15289716283621,Growth
2017-12,2785885,-39479,-1.417108028508,Decline
2017-11,2825364,19702,0.697326079046806,Growth
2017-10,2805662,20858,0.743425259350556,Growth
2017-09,2784804,2595,0.0931842959145419,Growth
2017-08,2782209,35076,1.26072484130416,Growth
2017-07,2747133,14201,0.516938932334183,Growth
2017-06,2732932,3292,0.120456710960975,Growth
2017-05,2729640,6249,0.228931287642326,Growth
2017-04,2723391,22187,0.814682871464289,Growth
2017-03,2701204,21665,0.802049752628828,Growth
2017-02,2679539,36884,1.3765054361963,Growth
2017-01,2642655,19130,0.723893205885747,Growth
2016-12,2623525,-26669,-1.01653309955118,Decline
2016-11,2650194,10151,0.383028563191978,Growth
2016-10,2640043,36932,1.39891660855524,Growth
2016-09,2603111,7194,0.276361630372274,Growth
2016-08,2595917,22755,0.876568857941144,Growth
2016-07,2573162,33107,1.28662711481049,Growth
2016-06,2540055,79076,3.11316093549155,Growth
2016-05,2460979,23177,0.9417796738615,Growth
2016-04,2437802,-2658,-0.109032644981012,Decline
2016-03,2440460,5251,0.215164354261082,Growth
2016-02,2435209,29959,1.23024348218161,Growth
2016-01,2405250,17299,0.719218376468143,Growth
2015-12,2387951,-7548,-0.316086887880028,Decline
2015-11,2395499,16168,0.674932446225191,Growth
2015-10,2379331,7858,0.33026090106841,Growth
2015-09,2371473,-14412,-0.60772355409486,Decline
2015-08,2385885,5976,0.250473094889318,Growth
2015-07,2379909,21382,0.898437713374755,Growth
2015-06,2358527,-18495,-0.784175886050912,Decline
2015-05,2377022,10212,0.429613188266663,Growth
2015-04,2366810,-614,-0.0259420908311187,Decline
2015-03,2367424,24407,1.03095178556946,Growth
2015-02,2343017,-1537,-0.0655991825923585,Decline
2015-01,2344554,-10488,-0.447334546357218,Decline
2014-12,2355042,-23224,-0.986139525324814,Decline
2014-11,2378266,22647,0.952248402827943,Growth
2014-10,2355619,-12696,-0.538966615568986,Decline
2014-09,2368315,-10760,-0.454331455064043,Decline
2014-08,2379075,17931,0.75369628952429,Growth
2014-07,2361144,-8467,-0.358597357890921,Decline
2014-06,2369611,-8955,-0.37791012955291,Decline
2014-05,2378566,5654,0.237706248218464,Growth
2014-04,2372912,-1042,-0.0439122900469971,Decline
2014-03,2373954,-45431,-1.91372705621086,Decline
2014-02,2419385,29969,1.23870322416647,Growth
2014-01,2389416,26886,1.12521218573911,Growth
2013-12,2362530,-50547,-2.13952838694112,Decline
2013-11,2413077,16602,0.68800125317178,Growth
2013-10,2396475,-5124,-0.213814039370325,Decline
2013-09,2401599,-17853,-0.743379723259378,Decline
2013-08,2419452,8228,0.340077009173978,Growth
2013-07,2411224,5707,0.236684770888146,Growth
2013-06,2405517,731,0.0303884778199447,Growth
2013-05,2404786,26881,1.11781256211571,Growth
2013-04,2377905,12031,0.505949564848049,Growth
2013-03,2365874,9833,0.415618076026027,Growth
2013-02,2356041,11461,0.486451636452846,Growth
2013-01,2344580,17497,0.74627438603076,Growth
2012-12,2327083,20080,0.862882845175699,Growth
2012-11,2307003,2569,0.111356595548424,Growth
2012-10,2304434,-4346,-0.188592947335441,Decline
2012-09,2308780,19301,0.835982640182261,Growth
2012-08,2289479,-9307,-0.40651169982341,Decline
2012-07,2298786,12141,0.528148335686749,Growth
2012-06,2286645,-22247,-0.972910093171437,Decline
2012-05,2308892,18668,0.808526340772977,Growth
2012-04,2290224,20294,0.886114196689931,Growth
2012-03,2269930,16995,0.748701501808426,Growth
2012-02,2252935,-27399,-1.21614693721745,Decline
2012-01,2280334,14110,0.618769004891389,Growth
2011-12,2266224,-44106,-1.94623302903861,Decline
2011-11,2310330,-2615,-0.113187293590093,Decline
2011-10,2312945,-32893,-1.42212633676979,Decline
2011-09,2345838,16920,0.721277428364619,Growth
2011-08,2328918,-4048,-0.173814621210365,Decline
2011-07,2332966,-10691,-0.458257857165514,Decline
2011-06,2343657,-20908,-0.892110065594069,Decline
2011-05,2364565,12446,0.526354741781258,Growth
2011-04,2352119,5008,0.212914397613386,Growth
2011-03,2347111,25137,1.07097619158191,Growth
2011-02,2321974,8669,0.37334612704535,Growth
2011-01,2313305,-10304,-0.445423322908134,Decline
2010-12,2323609,-29801,-1.28253075280738,Decline
2010-11,2353410,-20143,-0.855906960538113,Decline
2010-10,2373553,7623,0.321164094503051,Growth
2010-09,2365930,14406,0.608893754253084,Growth
2010-08,2351524,-14581,-0.62006596573116,Decline
2010-07,2366105,-12438,-0.525674050813468,Decline
2010-06,2378543,-14735,-0.619496893686597,Decline
2010-05,2393278,5861,0.244894241287473,Growth
2010-04,2387417,-17599,-0.737156516854827,Decline
2010-03,2405016,793,0.0329727536116184,Growth
2010-02,2404223,24313,1.01126226643702,Growth
2010-01,2379910,185899,7.81117773361178,Growth
2009-12,2194011,-34274,-1.56216172115819,Decline
2009-11,2228285,4130,0.185344334319892,Growth
2009-10,2224155,31515,1.41694261416133,Growth
2009-09,2192640,29385,1.34016528021016,Growth
2009-08,2163255,21090,0.974919739004417,Growth
2009-07,2142165,-3356,-0.156663935784592,Decline
